XCoord,YCoord,START_NODE,END_NODE,EDGE,LENGTH
281438.08788461,2332380.15721663,202,212,106,122.065749917743
281438.08788461,2332380.15721663,202,386,194,241.15346459162
279268.81735171,2332381.58225531,204,186,102,94.5352659024011
279268.81735171,2332381.58225531,204,152,103,71.3590821536074
279268.81735171,2332381.58225531,204,216,108,73.6240236489852
279746.09859093,2332377.25860739,207,208,104,43.44841326364
279787.81751791,2332389.39515329,208,207,104,43.44841326364
279787.81751791,2332389.39515329,208,165,105,55.4117497427532
279787.81751791,2332389.39515329,208,213,107,6.10401430145009
281559.36563116,2332394.00479746,212,202,106,122.065749917743
281559.36563116,2332394.00479746,212,224,112,122.861724096312
281559.36563116,2332394.00479746,212,394,198,241.278517946019
279786.18069965,2332395.27561386,213,208,107,6.10401430145009
279786.18069965,2332395.27561386,213,219,110,31.2713590852802
279786.18069965,2332395.27561386,213,238,120,28.7886298352116
279339.66550247,2332400.97082961,216,204,108,73.6240236489852
279339.66550247,2332400.97082961,216,161,109,70.7142963143388
279339.66550247,2332400.97082961,216,268,134,88.2721561948661
279816.24199324,2332403.89051528,219,213,110,31.2713590852802
279816.24199324,2332403.89051528,219,225,113,28.9946275590215
279816.24199324,2332403.89051528,219,259,131,42.6546761236495
277836.09294679,2332406.98531632,221,154,111,143.328927392591
277836.09294679,2332406.98531632,221,228,115,8.29756359337921
277836.09294679,2332406.98531632,221,575,288,742.007924407408
281681.43423569,2332407.94248147,224,212,112,122.861724096312
281681.43423569,2332407.94248147,224,234,117,123.637074745515
281681.43423569,2332407.94248147,224,404,203,241.280384237553
279844.29061597,2332411.23647948,225,219,113,28.9946275590215
279844.29061597,2332411.23647948,225,231,116,11.2582986351248
279844.29061597,2332411.23647948,225,279,141,43.5504762822601
277829.79354917,2332412.38597843,228,196,114,105.973280492355
277829.79354917,2332412.38597843,228,221,115,8.29756359337921
277829.79354917,2332412.38597843,228,315,158,125.549600722307
279855.31818656,2332413.50407186,231,225,116,11.2582986351248
